RTS_ID	TargetName	ProbeID	Negative
RTS0021054	LEP	35771	FALSE
RTS0021055	SGCG	35772	FALSE
RTS0021056	SGCB	35773	FALSE
RTS0021057	LHCGR	35774	FALSE
RTS0021058	LIG1	35775	FALSE
RTS0021059	LIPA	35776	FALSE
RTS0021060	LIPC	35777	FALSE
RTS0021062	LYZ	35778	FALSE
RTS0021064	MBL2	35779	FALSE
RTS0021065	MEFV	35780	FALSE
RTS0021068	MLH1	35781	FALSE
RTS0021069	MPO	35782	FALSE
RTS0021070	MSH2	35783	FALSE
RTS0021071	MTM1	35784	FALSE
RTS0021072	MTTP	35785	FALSE
RTS0021073	MTR	35786	FALSE
RTS0021074	MMUT	35787	FALSE
RTS0021075	MYBPC3	35788	FALSE
RTS0021076	MYH7	35789	FALSE
RTS0021077	MYL3	35790	FALSE
RTS0021078	MYO5A	35791	FALSE
RTS0021079	MYOC	35792	FALSE
RTS0021080	NAGA	35793	FALSE
RTS0021081	NAGLU	35794	FALSE
RTS0021082	PTCH1	35795	FALSE
RTS0021083	NCF1	35796	FALSE
RTS0021084	NDP	35797	FALSE
RTS0021085	NF1	35798	FALSE
RTS0021087	PNP	35799	FALSE
RTS0021088	NPC1	35800	FALSE
RTS0021089	GPR143	35801	FALSE
RTS0021090	OAT	35802	FALSE
RTS0021091	OCA2	35803	FALSE
RTS0021092	OCRL	35804	FALSE
RTS0021093	PAH	35805	FALSE
RTS0021094	PAX2	35806	FALSE
RTS0021095	PAX6	35807	FALSE
RTS0021096	PCBD1	35808	FALSE
RTS0021097	PCCA	35809	FALSE
RTS0021098	PDE6B	35810	FALSE
RTS0021099	PDHA1	35811	FALSE
RTS0021100	PEPD	35812	FALSE
RTS0021101	PEX12	35813	FALSE
RTS0021102	PEX6	35814	FALSE
RTS0021103	PEX7	35815	FALSE
RTS0021104	PFKM	35816	FALSE
RTS0021106	PGK1	35817	FALSE
RTS0021107	PHKA2	35818	FALSE
RTS0021108	PHKB	35819	FALSE
RTS0021109	PHKG2	35820	FALSE
RTS0021110	SERPINA1	35821	FALSE
RTS0021111	PKD2	35822	FALSE
RTS0021112	PKP1	35823	FALSE
RTS0021113	PLA2G2A	35824	FALSE
RTS0021114	PLOD1	35825	FALSE
RTS0021115	PMM2	35826	FALSE
RTS0021116	PMP22	35827	FALSE
RTS0021117	PON2	35828	FALSE
RTS0021118	POU1F1	35829	FALSE
RTS0021119	POU3F4	35830	FALSE
RTS0021121	PRNP	35831	FALSE
RTS0021122	PROC	35832	FALSE
RTS0021123	PROS1	35833	FALSE
RTS0021125	PTH	35834	FALSE
RTS0021126	PTH1R	35835	FALSE
RTS0021127	PTS	35836	FALSE
RTS0021128	PEX2	35837	FALSE
RTS0021129	QDPR	35838	FALSE
RTS0021130	RB1	35839	FALSE
RTS0021131	PRPH2	35840	FALSE
RTS0021132	RHAG	35841	FALSE
RTS0021133	PITX2	35842	FALSE
RTS0021134	RLBP1	35843	FALSE
RTS0021135	ROM1	35844	FALSE
RTS0021136	RPGR	35845	FALSE
RTS0021137	RPE65	35846	FALSE
RTS0021138	RS1	35847	FALSE
RTS0021139	ATXN1	35848	FALSE
RTS0021140	SCN4A	35849	FALSE
RTS0021142	SGCD	35850	FALSE
RTS0021143	SLC12A1	35851	FALSE
RTS0021144	SLC2A2	35852	FALSE
RTS0021145	SLC3A1	35853	FALSE
RTS0021146	SLC4A1	35854	FALSE
RTS0021147	SLC5A1	35855	FALSE
RTS0021148	SMN1	35856	FALSE
RTS0021149	SNCA	35857	FALSE
RTS0021152	ABCA4	35858	FALSE
RTS0021154	ABCC8	35859	FALSE
RTS0021156	SERPINA7	35860	FALSE
RTS0021157	TCN2	35861	FALSE
RTS0021158	TCOF1	35862	FALSE
RTS0021161	TH	35863	FALSE
RTS0021162	THBD	35864	FALSE
RTS0021163	TIMP3	35865	FALSE
RTS0021165	TPI1	35866	FALSE
RTS0021166	TPM1	35867	FALSE
RTS0021167	TPMT	35868	FALSE
RTS0021168	TSC1	35869	FALSE
RTS0021170	TTR	35870	FALSE
RTS0021171	TYR	35871	FALSE
RTS0021173	UROS	35872	FALSE
RTS0021174	VDR	35873	FALSE
RTS0021175	WAS	35874	FALSE
RTS0021176	WT1	35875	FALSE
RTS0021177	XDH	35876	FALSE
RTS0021178	XPA	35877	FALSE
RTS0021179	MID1	35878	FALSE
RTS0021180	AIRE	35879	FALSE
RTS0021181	APOB	35880	FALSE
RTS0021182	BLMH	35881	FALSE
RTS0021183	SLC25A20	35882	FALSE
RTS0021184	CASR	35883	FALSE
RTS0021185	CDKN1A	35884	FALSE
RTS0021186	CHM	35885	FALSE
RTS0021187	TPP1	35886	FALSE
RTS0021189	COL5A2	35887	FALSE
RTS0021190	CRYAA	35888	FALSE
RTS0021191	CSF2RB	35889	FALSE
RTS0021192	CTSK	35890	FALSE
RTS0021193	CYBB	35891	FALSE
RTS0021194	CYB5R3	35892	FALSE
RTS0021195	EGR2	35893	FALSE
RTS0021196	ERCC2	35894	FALSE
RTS0021197	G6PD	35895	FALSE
RTS0021198	GLB1	35896	FALSE
RTS0021199	GM2A	35897	FALSE
RTS0021200	GNRHR	35898	FALSE
RTS0021202	GUCA1A	35899	FALSE
RTS0021203	HLCS	35900	FALSE
RTS0021204	HRG	35901	FALSE
RTS0021206	HSD17B4	35902	FALSE
RTS0021207	IAPP	35903	FALSE
RTS0021208	IFNGR1	35904	FALSE
RTS0021209	IL2RA	35905	FALSE
RTS0021210	IL4R	35906	FALSE
RTS0021211	ITGA2B	35907	FALSE
RTS0021212	KEL	35908	FALSE
RTS0021213	KRT10	35909	FALSE
RTS0021214	KRT17	35910	FALSE
RTS0021215	KRT2	35911	FALSE
RTS0021217	LAMA2	35912	FALSE
RTS0021218	LOR	35913	FALSE
RTS0021219	LTBP2	35914	FALSE
RTS0021220	MAT1A	35915	FALSE
RTS0021221	PAFAH1B1	35916	FALSE
RTS0021222	MVK	35917	FALSE
RTS0021223	MYL2	35918	FALSE
RTS0021224	NCF2	35919	FALSE
RTS0021225	NEU1	35920	FALSE
RTS0021226	NOTCH3	35921	FALSE
RTS0021227	OXCT1	35922	FALSE
RTS0021228	PAFAH2	35923	FALSE
RTS0021229	PCSK1	35924	FALSE
RTS0021230	PDE6A	35925	FALSE
RTS0021233	PHEX	35926	FALSE
RTS0021234	PLEC	35927	FALSE
RTS0021235	PON1	35928	FALSE
RTS0021236	PSEN2	35929	FALSE
RTS0021237	RAG1	35930	FALSE
RTS0021238	RFX5	35931	FALSE
RTS0021239	SELE	35932	FALSE
RTS0021240	SHOX	35933	FALSE
RTS0021241	SLC10A2	35934	FALSE
RTS0021242	SLC5A5	35935	FALSE
RTS0021244	STK11	35936	FALSE
RTS0021246	TEK	35937	FALSE
RTS0021247	THPO	35938	FALSE
RTS0021249	UBE3A	35939	FALSE
RTS0021250	BARD1	35940	FALSE
RTS0021251	PEX1	35941	FALSE
RTS0021252	TWIST1	35942	FALSE
RTS0021253	NR0B1	35943	FALSE
RTS0021254	AK1	35944	FALSE
RTS0021255	ALB	35945	FALSE
RTS0021256	ALPL	35946	FALSE
RTS0021257	AMH	345	FALSE
RTS0021258	AMPD3	35947	FALSE
RTS0021259	AMT	35948	FALSE
RTS0021260	APOA4	35949	FALSE
RTS0021262	APP	35950	FALSE
RTS0021263	APRT	35951	FALSE
RTS0021264	AQP2	35952	FALSE
RTS0021265	ARSA	35953	FALSE
RTS0021266	SERPINC1	35954	FALSE
RTS0021267	ATRX	35955	FALSE
RTS0021268	AVP	35956	FALSE
RTS0021269	C1QB	35957	FALSE
RTS0021270	CFTR	35958	FALSE
RTS0021271	COL10A1	35959	FALSE
RTS0021273	COL4A5	35960	FALSE
RTS0021274	CRYBB2	35961	FALSE
RTS0021275	CYP11B1	35962	FALSE
RTS0021276	CYP11B2	35963	FALSE
RTS0021277	CYP1A1	35964	FALSE
RTS0021278	CYP21A2	35965	FALSE
RTS0021279	EPX	35966	FALSE
RTS0021280	F10	35967	FALSE
RTS0021281	F12	35968	FALSE
RTS0021282	F2	35969	FALSE
RTS0021283	FBP1	35970	FALSE
RTS0021285	FSHB	35971	FALSE
RTS0021286	FUT2	35972	FALSE
RTS0021287	GALNS	35973	FALSE
RTS0021289	GDNF	35974	FALSE
RTS0021290	GH1	35975	FALSE
RTS0021291	HBA2	35976	FALSE
RTS0021292	HBB	35977	FALSE
RTS0021293	HBD	35978	FALSE
RTS0021294	HEXA	35979	FALSE
RTS0021295	HEXB	35980	FALSE
RTS0021296	HOXA13	35981	FALSE
RTS0021297	HOXD13	35982	FALSE
RTS0021298	HTR1A	35983	FALSE
RTS0021299	KCNJ11	35984	FALSE
RTS0021300	KRT14	35985	FALSE
RTS0021301	LDLR	35986	FALSE
RTS0021302	MC2R	35987	FALSE
RTS0021303	MPZ	35988	FALSE
RTS0021304	OTC	35989	FALSE
RTS0021305	PCCB	35990	FALSE
RTS0021306	PLP1	35991	FALSE
RTS0021307	PMS1	35992	FALSE
RTS0021308	RAG2	35993	FALSE
RTS0021309	REN	35994	FALSE
RTS0021311	RHO	35995	FALSE
RTS0021312	RYR1	35996	FALSE
RTS0021313	SAG	35997	FALSE
RTS0021314	SFTPB	35998	FALSE
RTS0021315	SMPD1	35999	FALSE
RTS0021317	HNF1A	36000	FALSE
RTS0021319	TSC2	36001	FALSE
RTS0021320	TSHB	36002	FALSE
RTS0021322	VHL	36003	FALSE
RTS0021323	VWF	36004	FALSE
RTS0021324	WRN	36005	FALSE
RTS0021326	DCX	36006	FALSE
RTS0021327	GDF5	36007	FALSE
RTS0021329	C8A	36008	FALSE
RTS0021330	IL5RA	36009	FALSE
RTS0021331	IL6R	36010	FALSE
RTS0021332	FCGR1A	36011	FALSE
RTS0021333	CRP	36012	FALSE
RTS0021334	FCGR3A	36013	FALSE
RTS0021335	IL10	36014	FALSE
RTS0021336	CR1	36015	FALSE
RTS0021337	CD55	36016	FALSE
RTS0021340	IL1RN	36017	FALSE
RTS0021341	SLC11A1	36018	FALSE
RTS0021342	CCR5	36019	FALSE
RTS0021343	GPX1	36020	FALSE
RTS0021345	GC	36021	FALSE
RTS0021347	IL2	36022	FALSE
RTS0021348	C7	36023	FALSE
RTS0021349	IL3	36024	FALSE
RTS0021350	IL4	36025	FALSE
RTS0021352	CD14	36026	FALSE
RTS0021353	TAP1	36027	FALSE
RTS0021354	TNF	36028	FALSE
RTS0021355	LTA	36029	FALSE
RTS0021356	IGFBP1	36030	FALSE
RTS0021357	IGFBP2	36031	FALSE
RTS0021358	IGFBP3	36032	FALSE
RTS0021361	HGF	36033	FALSE
RTS0021362	SERPINE1	36034	FALSE
